House Vote #15 2023-01-06T13:46:00 - Election of the Speaker
person,state,district,vote,name,party
412307,ME,1,Jeffries,Rep. Chellie Pingree [D],Democrat
412309,FL,8,McCarthy,Rep. Bill Posey [R],Republican
412317,PA,15,McCarthy,Rep. Glenn Thompson [R],Republican
412318,NV,1,Jeffries,Rep. Dina Titus [D],Democrat
412319,NY,20,Jeffries,Rep. Paul Tonko [D],Democrat
412331,IL,5,Jeffries,Rep. Mike Quigley [D],Democrat
412379,CA,28,Jeffries,Rep. Judy Chu [D],Democrat
412382,CA,8,Jeffries,Rep. John Garamendi [D],Democrat
412396,AL,7,Jeffries,Rep. Terri Sewell [D],Democrat
412397,AZ,9,McCarthy,Rep. Paul Gosar [R],Republican
412399,AZ,1,McCarthy,Rep. David Schweikert [R],Republican
412400,AR,1,McCarthy,Rep. Eric “Rick” Crawford [R],Republican
412402,AR,3,McCarthy,Rep. Steve Womack [R],Republican
412410,FL,11,McCarthy,Rep. Daniel Webster [R],Republican
412412,FL,24,Jeffries,Rep. Frederica Wilson [D],Democrat
412417,GA,8,McCarthy,Rep. Austin Scott [R],Republican
412427,IN,8,McCarthy,Rep. Larry Bucshon [R],Republican
412434,MD,1,Jordan,Rep. Andy Harris [R],Republican
412435,MA,9,Jeffries,Rep. William R. Keating [D],Democrat
412437,MI,4,McCarthy,Rep. Bill Huizenga [R],Republican
412460,OH,6,McCarthy,"Rep. Bill Johnson [R, 2011-2024]",Republican
412465,PA,16,McCarthy,Rep. Mike Kelly [R],Republican
412470,RI,1,Jeffries,"Rep. David Cicilline [D, 2011-2023]",Democrat
412472,SC,3,McCarthy,Rep. Jeff Duncan [R],Republican
412476,TN,3,McCarthy,Rep. Charles “Chuck” Fleischmann [R],Republican
412477,TN,4,McCarthy,Rep. Scott DesJarlais [R],Republican
412485,VA,9,McCarthy,Rep. Morgan Griffith [R],Republican
412500,NV,2,McCarthy,Rep. Mark Amodei [R],Republican
412501,OR,1,Jeffries,Rep. Suzanne Bonamici [D],Democrat
412503,KY,4,McCarthy,Rep. Thomas Massie [R],Republican
412505,WA,1,Jeffries,Rep. Suzan DelBene [D],Democrat
412506,NJ,10,Jeffries,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat
412510,CA,1,McCarthy,Rep. Doug LaMalfa [R],Republican
412511,CA,2,Jeffries,Rep. Jared Huffman [D],Democrat
412512,CA,6,Jeffries,Rep. Ami Bera [D],Democrat
412514,CA,14,Jeffries,Rep. Eric Swalwell [D],Democrat
412515,CA,22,McCarthy,Rep. David Valadao [R],Republican
412516,CA,26,Jeffries,Rep. Julia Brownley [D],Democrat
412517,CA,29,Jeffries,Rep. Tony Cárdenas [D],Democrat
412519,CA,25,Jeffries,Rep. Raul Ruiz [D],Democrat
412520,CA,39,Jeffries,Rep. Mark Takano [D],Democrat
412522,CA,52,Jeffries,Rep. Juan Vargas [D],Democrat
412523,CA,50,Jeffries,Rep. Scott Peters [D],Democrat
412529,FL,22,Jeffries,Rep. Lois Frankel [D],Democrat
412534,IL,10,Jeffries,Rep. Bradley “Brad” Schneider [D],Democrat
412541,KY,6,McCarthy,Rep. Garland “Andy” Barr [R],Republican
412546,MI,8,Jeffries,Rep. Daniel Kildee [D],Democrat
412548,MO,2,McCarthy,Rep. Ann Wagner [R],Republican
412550,NC,9,McCarthy,Rep. Richard Hudson [R],Republican
412557,NH,2,Jeffries,Rep. Ann Kuster [D],Democrat
412559,NV,4,Jeffries,Rep. Steven Horsford [D],Democrat
412560,NY,6,Jeffries,Rep. Grace Meng [D],Democrat
412561,NY,8,Jeffries,Rep. Hakeem Jeffries [D],Democrat
412564,OH,2,McCarthy,Rep. Brad Wenstrup [R],Republican
412565,OH,3,Jeffries,Rep. Joyce Beatty [D],Democrat
412566,OH,14,McCarthy,Rep. David Joyce [R],Republican
412569,PA,10,McCarthy,Rep. Scott Perry [R],Republican
412571,PA,8,Jeffries,Rep. Matthew “Matt” Cartwright [D],Democrat
412574,TX,14,McCarthy,Rep. Randy Weber [R],Republican
412576,TX,20,Jeffries,Rep. Joaquin Castro [D],Democrat
412578,TX,25,McCarthy,Rep. Roger Williams [R],Republican
412579,TX,33,Jeffries,Rep. Marc Veasey [D],Democrat
412581,UT,2,McCarthy,"Rep. Chris Stewart [R, 2013-2023]",Republican
412583,WA,6,Jeffries,Rep. Derek Kilmer [D],Democrat
412585,WI,2,Jeffries,Rep. Mark Pocan [D],Democrat
412595,IL,2,Jeffries,Rep. Robin Kelly [D],Democrat
412596,MO,8,McCarthy,Rep. Jason Smith [R],Republican
412600,MA,5,Jeffries,Rep. Katherine Clark [D],Democrat
412606,NJ,1,Jeffries,Rep. Donald Norcross [D],Democrat
412607,NC,12,Jeffries,Rep. Alma Adams [D],Democrat
412608,AL,6,McCarthy,Rep. Gary Palmer [R],Republican
412609,AR,2,McCarthy,Rep. French Hill [R],Republican
412610,AR,4,McCarthy,Rep. Bruce Westerman [R],Republican
412612,AZ,3,Jeffries,Rep. Ruben Gallego [D],Democrat
412613,CA,10,Jeffries,Rep. Mark DeSaulnier [D],Democrat
412615,CA,33,Jeffries,Rep. Pete Aguilar [D],Democrat
412616,CA,36,Jeffries,Rep. Ted Lieu [D],Democrat
412617,CA,35,Jeffries,Rep. Norma Torres [D],Democrat
412619,CO,4,Not Voting,"Rep. Ken Buck [R, 2015-2024]",Republican
412622,GA,1,McCarthy,Rep. Earl “Buddy” Carter [R],Republican
412624,GA,11,McCarthy,Rep. Barry Loudermilk [R],Republican
412625,GA,12,McCarthy,Rep. Rick Allen [R],Republican
412629,IL,12,McCarthy,Rep. Mike Bost [R],Republican
412631,LA,6,McCarthy,Rep. Garret Graves [R],Republican
412632,MA,6,Jeffries,Rep. Seth Moulton [D],Democrat
412634,MI,2,McCarthy,Rep. John Moolenaar [R],Republican
412637,MI,6,Jeffries,Rep. Debbie Dingell [D],Democrat
412639,MN,6,McCarthy,Rep. Tom Emmer [R],Republican
412640,MT,1,McCarthy,Rep. Ryan Zinke [R],Republican
412641,NC,7,McCarthy,Rep. David Rouzer [R],Republican
412644,NJ,12,Jeffries,Rep. Bonnie Watson Coleman [D],Democrat
412648,NY,21,McCarthy,Rep. Elise Stefanik [R],Republican
412652,PA,2,Jeffries,Rep. Brendan Boyle [D],Democrat
412655,TX,36,McCarthy,Rep. Brian Babin [R],Republican
412657,VA,8,Jeffries,Rep. Donald Beyer [D],Democrat
412660,WA,4,McCarthy,Rep. Dan Newhouse [R],Republican
412661,WI,6,McCarthy,Rep. Glenn Grothman [R],Republican
412662,WV,2,McCarthy,Rep. Alexander Mooney [R],Republican
412673,MS,1,McCarthy,Rep. Trent Kelly [R],Republican
412674,IL,16,McCarthy,Rep. Darin LaHood [R],Republican
412675,OH,8,McCarthy,Rep. Warren Davidson [R],Republican
412676,KY,1,McCarthy,Rep. James Comer [R],Republican
412677,PA,3,Jeffries,Rep. Dwight Evans [D],Democrat
412683,AZ,5,Jordan,Rep. Andy Biggs [R],Republican
412684,CA,17,Jeffries,Rep. Ro Khanna [D],Democrat
412685,CA,19,Jeffries,Rep. Jimmy Panetta [D],Democrat
412686,CA,24,Jeffries,Rep. Salud Carbajal [D],Democrat
412687,CA,44,Jeffries,Rep. Nanette Barragán [D],Democrat
412688,CA,46,Jeffries,Rep. Luis Correa [D],Democrat
412689,DE,0,Jeffries,Rep. Lisa Blunt Rochester [D],Democrat
412690,FL,1,Jordan,Rep. Matt Gaetz [R],Republican
412691,FL,2,McCarthy,Rep. Neal Dunn [R],Republican
412692,FL,5,McCarthy,Rep. John Rutherford [R],Republican
412695,FL,9,Jeffries,Rep. Darren Soto [D],Democrat
412698,FL,21,McCarthy,Rep. Brian Mast [R],Republican
412700,GA,3,McCarthy,Rep. Drew Ferguson [R],Republican
412701,IL,8,Jeffries,Rep. Raja Krishnamoorthi [D],Democrat
412702,IN,3,McCarthy,Rep. Jim Banks [R],Republican
412705,LA,3,McCarthy,Rep. Clay Higgins [R],Republican
412706,LA,4,McCarthy,Rep. Mike Johnson [R],Republican
412708,MD,8,Jeffries,Rep. Jamie Raskin [D],Democrat
412709,MI,1,McCarthy,Rep. Jack Bergman [R],Republican
412713,NE,2,McCarthy,Rep. Don Bacon [R],Republican
412714,NJ,5,Jeffries,Rep. Josh Gottheimer [D],Democrat
412718,NY,13,Jeffries,Rep. Adriano Espaillat [D],Democrat
412720,NY,24,McCarthy,Rep. Claudia Tenney [R],Republican
412721,PA,1,McCarthy,Rep. Brian Fitzpatrick [R],Republican
412722,PA,11,McCarthy,Rep. Lloyd Smucker [R],Republican
412724,TN,8,McCarthy,Rep. David Kustoff [R],Republican
412725,TX,34,Jeffries,Rep. Vicente Gonzalez [D],Democrat
412726,TX,19,McCarthy,Rep. Jodey Arrington [R],Republican
412730,WA,7,Jeffries,Rep. Pramila Jayapal [D],Democrat
412731,WI,8,McCarthy,"Rep. Mike Gallagher [R, 2017-2024]",Republican
412735,KS,4,McCarthy,Rep. Ron Estes [R],Republican
412738,SC,5,McCarthy,Rep. Ralph Norman [R],Republican
412739,CA,34,Jeffries,Rep. Jimmy Gomez [D],Democrat
412740,UT,3,McCarthy,Rep. John Curtis [R],Republican
412745,AZ,8,McCarthy,Rep. Debbie Lesko [R],Republican
412746,TX,27,McCarthy,Rep. Michael Cloud [R],Republican
412747,OH,12,McCarthy,Rep. Troy Balderson [R],Republican
412748,OK,1,McCarthy,Rep. Kevin Hern [R],Republican
412749,NY,25,Jeffries,Rep. Joseph Morelle [D],Democrat
412750,PA,5,Jeffries,Rep. Mary Gay Scanlon [D],Democrat
412751,PA,7,Jeffries,Rep. Susan Wild [D],Democrat
412753,AZ,4,Jeffries,Rep. Greg Stanton [D],Democrat
412754,CA,9,Jeffries,Rep. Josh Harder [D],Democrat
412758,CA,47,Jeffries,Rep. Katie Porter [D],Democrat
412760,CA,49,Jeffries,Rep. Mike Levin [D],Democrat
412761,CO,2,Jeffries,Rep. Joe Neguse [D],Democrat
412762,CO,6,Jeffries,Rep. Jason Crow [D],Democrat
412763,CT,5,Jeffries,Rep. Jahana Hayes [D],Democrat
412764,FL,6,McCarthy,Rep. Michael Waltz [R],Republican
412766,FL,17,McCarthy,Rep. Gregory Steube [R],Republican
412769,GA,7,Jeffries,Rep. Lucy McBath [D],Democrat
412773,ID,1,McCarthy,Rep. Russ Fulcher [R],Republican
412774,IL,4,Jeffries,Rep. Jesús “Chuy” García [D],Democrat
412775,IL,6,Jeffries,Rep. Sean Casten [D],Democrat
412776,IL,14,Jeffries,Rep. Lauren Underwood [D],Democrat
412777,IN,4,McCarthy,Rep. James Baird [R],Republican
412778,IN,6,McCarthy,Rep. Greg Pence [R],Republican
412780,KS,3,Jeffries,Rep. Sharice Davids [D],Democrat
412781,MA,3,Jeffries,Rep. Lori Trahan [D],Democrat
412782,MA,7,Jeffries,Rep. Ayanna Pressley [D],Democrat
