House Vote #2 2019-01-03T15:15:00 - Election of the Speaker
person,state,district,vote,name,party
400004,AL,4,McCarthy,"Rep. Robert Aderholt [R, 1997-2024]",Republican
400029,UT,1,McCarthy,"Rep. Rob Bishop [R, 2003-2020]",Republican
400030,GA,2,Pelosi,"Rep. Sanford Bishop [D, 1993-2024]",Democrat
400033,OR,3,Pelosi,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat
400046,TX,8,McCarthy,"Rep. Kevin Brady [R, 1997-2022]",Republican
400052,TX,26,McCarthy,"Rep. Michael Burgess [R, 2003-2024]",Republican
400057,CA,42,McCarthy,"Rep. Ken Calvert [R, 2013-2022]",Republican
400068,TX,31,McCarthy,"Rep. John R. Carter [R, 2003-2024]",Republican
400069,HI,1,Pelosi,"Rep. Ed Case [D, 2019-2024]",Democrat
400071,OH,1,McCarthy,"Rep. Steve Chabot [R, 2011-2022]",Republican
400074,MO,1,Pelosi,"Rep. Lacy Clay [D, 2001-2020]",Democrat
400075,SC,6,Pelosi,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat
400077,OK,4,McCarthy,"Rep. Tom Cole [R, 2003-2024]",Republican
400081,TN,5,Present,"Rep. Jim Cooper [D, 2003-2022]",Democrat
400090,MD,7,Pelosi,"Rep. Elijah Cummings [D, 1996-2019]",Democrat
400093,IL,7,Pelosi,"Rep. Danny Davis [D, 1997-2024]",Democrat
400097,CA,53,Pelosi,"Rep. Susan Davis [D, 2003-2020]",Democrat
400100,OR,4,Pelosi,"Rep. Peter DeFazio [D, 1987-2022]",Democrat
400101,CO,1,Pelosi,"Rep. Diana DeGette [D, 1997-2024]",Democrat
400103,CT,3,Pelosi,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat
400108,FL,25,McCarthy,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican
400111,TX,35,Pelosi,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat
400114,PA,18,Pelosi,"Rep. Michael Doyle [D, 2019-2022]",Democrat
400122,NY,16,Pelosi,"Rep. Eliot Engel [D, 2013-2020]",Democrat
400124,CA,18,Pelosi,"Rep. Anna Eshoo [D, 2013-2022]",Democrat
400157,TX,12,McCarthy,"Rep. Kay Granger [R, 1997-2024]",Republican
400158,MO,6,McCarthy,"Rep. Sam Graves [R, 2001-2024]",Republican
400162,AZ,3,Pelosi,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat
400170,FL,20,Pelosi,"Rep. Alcee Hastings [D, 2013-2021]",Democrat
400189,MD,5,Pelosi,"Rep. Steny Hoyer [D, 1981-2024]",Democrat
400199,TX,18,Pelosi,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat
400204,TX,30,Pelosi,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat
400209,NC,3,Not Voting,"Rep. Walter B. Jones [R, 1995-2019]",Republican
400211,OH,9,Pelosi,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat
400218,WI,3,Lewis,"Rep. Ron Kind [D, 1997-2022]",Democrat
400219,NY,2,McCarthy,"Rep. Peter “Pete” King [R, 2013-2020]",Republican
400220,IA,4,McCarthy,"Rep. Steve King [R, 2013-2020]",Republican
400230,RI,2,Pelosi,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat
400232,WA,2,Pelosi,"Rep. Rick Larsen [D, 2001-2024]",Democrat
400233,CT,1,Pelosi,"Rep. John Larson [D, 1999-2024]",Democrat
400237,CA,13,Pelosi,"Rep. Barbara Lee [D, 2013-2022]",Democrat
400240,GA,5,Pelosi,"Rep. John R. Lewis [D, 1987-2020]",Democrat
400245,CA,19,Pelosi,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat
400246,NY,17,Pelosi,"Rep. Nita Lowey [D, 2013-2020]",Democrat
400247,OK,3,McCarthy,"Rep. Frank Lucas [R, 2003-2024]",Republican
400249,MA,8,Pelosi,"Rep. Stephen Lynch [D, 2013-2024]",Democrat
400251,NY,12,Pelosi,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat
400259,MN,4,Pelosi,"Rep. Betty McCollum [D, 2001-2024]",Democrat
400263,MA,2,Pelosi,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat
400271,NY,5,Pelosi,"Rep. Gregory Meeks [D, 2013-2024]",Democrat
400289,NY,10,Pelosi,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat
400290,CA,32,Pelosi,"Rep. Grace Napolitano [D, 2013-2022]",Democrat
400291,MA,1,Pelosi,"Rep. Richard Neal [D, 2013-2024]",Democrat
400297,CA,22,McCarthy,"Rep. Devin Nunes [R, 2013-2021]",Republican
400308,NJ,6,Pelosi,"Rep. Frank Pallone [D, 1993-2024]",Democrat
400309,NJ,9,Pelosi,"Rep. Bill Pascrell [D, 2013-2024]",Democrat
400314,CA,12,Pelosi,"Rep. Nancy Pelosi [D, 2013-2022]",Democrat
400316,MN,7,Pelosi,"Rep. Collin Peterson [D, 1991-2020]",Democrat
400326,NC,4,Pelosi,"Rep. David Price [D, 1997-2022]",Democrat
400340,KY,5,McCarthy,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican
400341,AL,3,McCarthy,"Rep. Mike Rogers [R, 2003-2024]",Republican
400347,CA,40,Pelosi,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat
400349,MD,2,Pelosi,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat
400350,IL,1,Pelosi,"Rep. Bobby Rush [D, 1993-2022]",Democrat
400352,OH,13,Pelosi,"Rep. Tim Ryan [D, 2013-2022]",Democrat
400355,CA,38,Pelosi,"Rep. Linda Sánchez [D, 2013-2024]",Democrat
400360,IL,9,Pelosi,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat
400361,CA,28,Pelosi,"Rep. Adam Schiff [D, 2013-2022]",Democrat
400363,GA,13,Pelosi,"Rep. David Scott [D, 2003-2024]",Democrat
400364,VA,3,Pelosi,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat
400365,WI,5,McCarthy,"Rep. James Sensenbrenner [R, 2003-2020]",Republican
400366,NY,15,Pelosi,"Rep. José Serrano [D, 2013-2020]",Democrat
400371,CA,30,Pelosi,"Rep. Brad Sherman [D, 2013-2022]",Democrat
400373,IL,15,McCarthy,"Rep. John Shimkus [R, 2013-2020]",Republican
400376,ID,2,McCarthy,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican
400379,WA,9,Pelosi,"Rep. Adam Smith [D, 1997-2024]",Democrat
400380,NJ,4,McCarthy,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican
400402,MS,2,Pelosi,"Rep. Bennie Thompson [D, 1993-2024]",Democrat
400403,CA,5,Pelosi,"Rep. Mike Thompson [D, 2013-2022]",Democrat
400404,TX,13,McCarthy,"Rep. Mac Thornberry [R, 1995-2020]",Republican
400411,OH,10,McCarthy,"Rep. Michael Turner [R, 2013-2024]",Republican
400414,MI,6,McCarthy,"Rep. Fred Upton [R, 1993-2022]",Republican
400416,NY,7,Pelosi,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat
400417,IN,1,Pelosi,"Rep. Peter Visclosky [D, 1985-2020]",Democrat
400419,OR,2,McCarthy,"Rep. Greg Walden [R, 1999-2020]",Republican
400422,CA,43,Pelosi,"Rep. Maxine Waters [D, 2013-2024]",Democrat
400433,SC,2,McCarthy,"Rep. Joe Wilson [R, 2001-2024]",Republican
400440,AK,0,McCarthy,"Rep. Don Young [R, 1973-2022]",Republican
400616,NC,1,Pelosi,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat
400618,CA,16,Pelosi,"Rep. Jim Costa [D, 2013-2022]",Democrat
400623,FL,23,Pelosi,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat
400630,IL,3,Pelosi,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat
400639,MO,5,Pelosi,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat
400640,NE,1,McCarthy,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican
400641,NY,26,Pelosi,"Rep. Brian Higgins [D, 2013-2024]",Democrat
400643,NC,5,McCarthy,"Rep. Virginia Foxx [R, 2005-2024]",Republican
400644,NC,10,McCarthy,"Rep. Patrick McHenry [R, 2005-2024]",Republican
400651,TX,1,McCarthy,"Rep. Louie Gohmert [R, 2005-2022]",Republican
400653,TX,9,Pelosi,"Rep. Al Green [D, 2005-2024]",Democrat
400654,TX,10,McCarthy,"Rep. Michael McCaul [R, 2005-2024]",Republican
400655,TX,11,McCarthy,"Rep. Michael Conaway [R, 2005-2020]",Republican
