House Vote #601 2019-10-30T17:54:00 - On Motion to Recommit with Instructions: H.R. 1373: Grand Canyon Centennial Protection Act
person,state,district,vote,name,party
400416,NY,7,No,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat
400417,IN,1,No,"Rep. Peter Visclosky [D, 1985-2020]",Democrat
400419,OR,2,Aye,"Rep. Greg Walden [R, 1999-2020]",Republican
400422,CA,43,No,"Rep. Maxine Waters [D, 2013-2024]",Democrat
400433,SC,2,Aye,"Rep. Joe Wilson [R, 2001-2024]",Republican
400440,AK,0,Aye,"Rep. Don Young [R, 1973-2022]",Republican
400616,NC,1,No,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat
400618,CA,16,No,"Rep. Jim Costa [D, 2013-2022]",Democrat
400623,FL,23,No,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat
400630,IL,3,No,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat
400639,MO,5,No,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat
400640,NE,1,Aye,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican
400641,NY,26,No,"Rep. Brian Higgins [D, 2013-2024]",Democrat
400643,NC,5,Aye,"Rep. Virginia Foxx [R, 2005-2024]",Republican
400644,NC,10,Aye,"Rep. Patrick McHenry [R, 2005-2024]",Republican
400651,TX,1,Aye,"Rep. Louie Gohmert [R, 2005-2022]",Republican
400653,TX,9,No,"Rep. Al Green [D, 2005-2024]",Democrat
400654,TX,10,Aye,"Rep. Michael McCaul [R, 2005-2024]",Republican
400655,TX,11,Aye,"Rep. Michael Conaway [R, 2005-2020]",Republican
400656,TX,24,Aye,"Rep. Kenny Marchant [R, 2005-2020]",Republican
400657,TX,28,No,"Rep. Henry Cuellar [D, 2005-2024]",Democrat
400659,WA,5,Aye,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican
400661,WI,4,No,"Rep. Gwen Moore [D, 2005-2024]",Democrat
400663,CA,6,No,"Rep. Doris Matsui [D, 2013-2022]",Democrat
412186,NJ,8,No,"Rep. Albio Sires [D, 2013-2022]",Democrat
412189,CA,9,No,"Rep. Jerry McNerney [D, 2013-2022]",Democrat
412190,CA,23,Aye,"Rep. Kevin McCarthy [R, 2013-2022]",Republican
412191,CO,5,Aye,"Rep. Doug Lamborn [R, 2007-2024]",Republican
412192,CO,7,No,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat
412193,CT,2,No,"Rep. Joe Courtney [D, 2007-2024]",Democrat
412195,FL,14,No,"Rep. Kathy Castor [D, 2013-2024]",Democrat
412196,FL,16,Aye,"Rep. Vern Buchanan [R, 2013-2024]",Republican
412199,GA,4,No,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat
412209,IA,2,No,"Rep. David Loebsack [D, 2007-2020]",Democrat
412211,KY,3,No,"Rep. John Yarmuth [D, 2007-2022]",Democrat
412212,MD,3,No,"Rep. John Sarbanes [D, 2007-2024]",Democrat
412213,MI,7,Aye,"Rep. Tim Walberg [R, 2011-2022]",Republican
412217,NE,3,Aye,"Rep. Adrian Smith [R, 2007-2024]",Republican
412221,NY,9,No,"Rep. Yvette Clarke [D, 2013-2024]",Democrat
412226,OH,4,Aye,"Rep. Jim Jordan [R, 2007-2024]",Republican
412236,TN,9,No,"Rep. Steve Cohen [D, 2007-2024]",Democrat
412239,VT,0,No,"Rep. Peter Welch [D, 2007-2022]",Democrat
412250,FL,12,Aye,"Rep. Gus Bilirakis [R, 2013-2024]",Republican
412255,VA,1,Aye,"Rep. Robert Wittman [R, 2007-2024]",Republican
412256,OH,5,Aye,"Rep. Robert Latta [R, 2007-2024]",Republican
412257,IL,11,No,"Rep. Bill Foster [D, 2013-2024]",Democrat
412258,IN,7,No,"Rep. André Carson [D, 2008-2024]",Democrat
412259,CA,14,No,"Rep. Jackie Speier [D, 2013-2022]",Democrat
412261,LA,1,Aye,"Rep. Steve Scalise [R, 2008-2024]",Republican
412272,VA,11,No,"Rep. Gerald Connolly [D, 2009-2024]",Democrat
412278,KY,2,Aye,"Rep. Brett Guthrie [R, 2009-2024]",Republican
412282,CT,4,No,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat
412283,CA,50,Aye,"Rep. Duncan D. Hunter [R, 2013-2020]",Republican
