House Vote #273 2019-06-12T23:40:00 - H.Amdt. 289 (Foster) to H.R. 2740: To increase the Biomedical Advanced Research and Development Authority account by $1,000,000 to support increased R&D for biosecurity.
person,state,district,vote,name,party
400402,MS,2,Aye,"Rep. Bennie Thompson [D, 1993-2024]",Democrat
400403,CA,5,Aye,"Rep. Mike Thompson [D, 2013-2022]",Democrat
400404,TX,13,Aye,"Rep. Mac Thornberry [R, 1995-2020]",Republican
400411,OH,10,No,"Rep. Michael Turner [R, 2013-2024]",Republican
400414,MI,6,Aye,"Rep. Fred Upton [R, 1993-2022]",Republican
400416,NY,7,Aye,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat
400417,IN,1,Aye,"Rep. Peter Visclosky [D, 1985-2020]",Democrat
400419,OR,2,Aye,"Rep. Greg Walden [R, 1999-2020]",Republican
400422,CA,43,Aye,"Rep. Maxine Waters [D, 2013-2024]",Democrat
400433,SC,2,No,"Rep. Joe Wilson [R, 2001-2024]",Republican
400440,AK,0,Aye,"Rep. Don Young [R, 1973-2022]",Republican
400616,NC,1,Aye,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat
400618,CA,16,Aye,"Rep. Jim Costa [D, 2013-2022]",Democrat
400623,FL,23,Aye,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat
400630,IL,3,Aye,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat
400639,MO,5,Aye,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat
400640,NE,1,Aye,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican
400641,NY,26,Aye,"Rep. Brian Higgins [D, 2013-2024]",Democrat
400643,NC,5,No,"Rep. Virginia Foxx [R, 2005-2024]",Republican
400644,NC,10,Aye,"Rep. Patrick McHenry [R, 2005-2024]",Republican
400651,TX,1,No,"Rep. Louie Gohmert [R, 2005-2022]",Republican
400653,TX,9,Aye,"Rep. Al Green [D, 2005-2024]",Democrat
400654,TX,10,Aye,"Rep. Michael McCaul [R, 2005-2024]",Republican
400655,TX,11,Aye,"Rep. Michael Conaway [R, 2005-2020]",Republican
400656,TX,24,No,"Rep. Kenny Marchant [R, 2005-2020]",Republican
400657,TX,28,Aye,"Rep. Henry Cuellar [D, 2005-2024]",Democrat
400659,WA,5,Aye,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican
400661,WI,4,Aye,"Rep. Gwen Moore [D, 2005-2024]",Democrat
400663,CA,6,Aye,"Rep. Doris Matsui [D, 2013-2022]",Democrat
412186,NJ,8,Aye,"Rep. Albio Sires [D, 2013-2022]",Democrat
412189,CA,9,Aye,"Rep. Jerry McNerney [D, 2013-2022]",Democrat
412190,CA,23,Aye,"Rep. Kevin McCarthy [R, 2013-2022]",Republican
412191,CO,5,Aye,"Rep. Doug Lamborn [R, 2007-2024]",Republican
412192,CO,7,Aye,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat
412193,CT,2,Aye,"Rep. Joe Courtney [D, 2007-2024]",Democrat
412195,FL,14,Aye,"Rep. Kathy Castor [D, 2013-2024]",Democrat
412196,FL,16,Aye,"Rep. Vern Buchanan [R, 2013-2024]",Republican
412199,GA,4,Aye,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat
412209,IA,2,Aye,"Rep. David Loebsack [D, 2007-2020]",Democrat
412211,KY,3,Aye,"Rep. John Yarmuth [D, 2007-2022]",Democrat
